Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","1u","C_0805_2012Metric",3.5560,-5.3340,90.0000,bottom
"C4","100n","C_0805_2012Metric",14.2240,-3.8100,-90.0000,bottom
"C5","1u","C_0805_2012Metric",16.2560,-3.8100,-90.0000,bottom
"C6","1u","C_0805_2012Metric",15.4940,-6.6040,180.0000,bottom
"C7","10n","C_0805_2012Metric",22.0980,-14.7320,180.0000,bottom
"C8","10n","C_0805_2012Metric",21.5900,-9.9060,-90.0000,bottom
"C9","100n","C_0805_2012Metric",27.6860,-21.5900,180.0000,bottom
"C10","100n","C_0805_2012Metric",32.2580,-8.1280,90.0000,bottom
"C11","10uF","CP_EIA-3528-21_Kemet-B",34.7980,-7.6200,90.0000,bottom
"D1","MM5Z10VT1G","D_SOD-523",0.2540,-6.8580,-90.0000,bottom
"D2","+5V","LED_1206",25.1460,0.2540,90.0000,bottom
"D3","CDBHM260L-HF","MSB-2",-1.0160,-12.4460,180.0000,bottom
"J1","IN 50V(max)","XT30PW-M",11.4300,-16.0020,180.0000,top
"J4","BUS I2C","Straight_2x05",16.7640,0.2540,90.0000,top
"J5","EXT_POWER","Straight_2x01",5.8420,0.2540,90.0000,top
"J6","ADDR","Straight_2x02",60.9600,-9.1440,90.0000,top
"L1","BLM21PG300SN1D","BLM21PG_3Amp",19.5580,-4.3180,-90.0000,bottom
"MH1","MountingHole_Pad","MountingHole_3mm",60.9600,0.0000,0.0000,top
"MH2","MountingHole_Pad","MountingHole_3mm",0.0000,-20.3200,0.0000,top
"MH3","MountingHole_Pad","MountingHole_3mm",60.9600,-20.3200,0.0000,top
"MH4","MountingHole_Pad","MountingHole_3mm",0.0000,0.0000,0.0000,top
"R1","1M","R_0805_2012Metric",14.9860,-15.7480,-90.0000,bottom
"R2","1M","R_0805_2012Metric",7.8740,-15.7480,90.0000,bottom
"R3","50k","R_0805_2012Metric",4.5720,-16.7640,0.0000,bottom
"R4","40k","R_0805_2012Metric",4.5220,-10.6757,180.0000,bottom
"R5","1k5","R_0805_2012Metric",4.5720,-14.7320,0.0000,bottom
"R6","17k","R_0805_2012Metric",4.5720,-12.7000,180.0000,bottom
"R7","1M","R_0805_2012Metric",12.9540,-15.7480,-90.0000,bottom
"R8","1M","R_0805_2012Metric",9.9060,-15.7480,90.0000,bottom
"R10","10k","R_0805_2012Metric",14.9860,3.8100,180.0000,bottom
"R11","3k9","R_0805_2012Metric",-2.2860,-6.8580,-90.0000,bottom
"R12","10k","R_0805_2012Metric",18.5420,3.8100,0.0000,bottom
"R13","330R","R_0805_2012Metric",28.1940,-0.7620,90.0000,bottom
"R14","10k","R_0805_2012Metric",23.1140,-21.5900,0.0000,bottom
"R15","180k","R_0805_2012Metric",22.6060,-17.5260,-90.0000,bottom
"R16","180k","R_0805_2012Metric",18.7960,-9.1440,180.0000,bottom
"R17","33k","R_0805_2012Metric",22.0980,-12.7000,0.0000,bottom
"R18","33k","R_0805_2012Metric",23.6220,-9.9060,90.0000,bottom
"R22","10k","R_0805_2012Metric",59.6900,-13.2080,-90.0000,bottom
"R24","10k","R_0805_2012Metric",62.2300,-13.2080,-90.0000,bottom
"TR1","L01ZxxxS05","L01ZxxxS05",27.9400,-23.6220,0.0000,top
"U1","ADuM3190ARQZ","QSOP-16_3.9x4.9mm_P0.635mm",8.8900,-5.5880,180.0000,bottom
"U2","MCP3423-E/UN","MSOP-10_3x3mm_P0.5mm",27.9400,-10.6680,0.0000,bottom
